AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 240 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (WHITE),"₱3,550","₱3,500.00","₱3,976.00",0
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 240 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (BLACK),"₱3,450","₱3,400.00","₱3,864.00",0
10MOS,AIO,JUNGLE LEOPARD,ASTROBEAT 240 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (WHITE),"₱2,850","₱2,800.00","₱3,192.00",1
10MOS,AIO,JUNGLE LEOPARD,ASTROBEAT 240 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (BLACK),"₱2,750","₱2,700.00","₱3,080.00",1
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 360 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (BLACK),"₱4,500","₱4,480.00","₱5,040.00",1
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 360 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (WHITE),"₱4,600","₱4,580.00","₱5,152.00",0
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK),"₱6,800","₱6,780.00","₱7,616.00",0
10MOS,AIO,DEEPCOOL,MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE),AIO - DEEPCOOL MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE),"₱8,300","₱8,280.00","₱9,296.00",0
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),"₱6,800","₱6,780.00","₱7,616.00",1
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE),AIO - DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE),"₱6,700","₱6,680.00","₱7,504.00",0
10MOS,AIO,DEEPCOOL,MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),"₱8,300","₱8,280.00","₱9,296.00",0
10MOS,AIO,THERMALRIGHT,LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE,AIO - THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE,"₱4,100","₱4,080.00","₱4,592.00",0
1MO,AVR,SECURE,,AVR - SECURE ,₱280,₱260.00,₱313.60,7
1WK,CABLE,DELUXE,HDMI -HDTV 2.0 4K 20M,CABLE - DELUXE HDMI -HDTV 2.0 4K 20M,₱700,₱680.00,₱784.00,0
1WK,CABLE,DELUXE,HDMI -HDTV 2.0 4K 10M,CABLE - DELUXE HDMI -HDTV 2.0 4K 10M,₱550,₱530.00,₱616.00,0
1WK,CABLE,GENERIC,VGA CABLE (FOR DELL BLACK),CABLE - GENERIC VGA CABLE (FOR DELL BLACK),₱150,₱130.00,₱168.00,11
1WK,CABLE,KEYTECH ,DISPLAY PORT 1.5M,CABLE - KEYTECH  DISPLAY PORT 1.5M,₱180,₱160.00,₱201.60,2
1WK,CABLE,KEYTECH ,DP TO HDMI,CABLE - KEYTECH  DP TO HDMI,₱250,₱240.00,₱280.00,1
1WK,CABLE,KEYTECH ,HDMI 4K 1.5M,CABLE - KEYTECH  HDMI 4K 1.5M,₱150,₱140.00,₱168.00,1
1WK,CABLE,KEYTECH ,HDMI TO VGA 1.8M,CABLE - KEYTECH  HDMI TO VGA 1.8M,₱200,₱150.00,₱224.00,1
1WK,CABLE,,POWER CORD,CABLE -  POWER CORD,₱80,₱70.00,₱89.60,11
1WK,CABLE,,SATA,CABLE -  SATA,₱50,₱40.00,₱56.00,49
1WK,CABLE,KINGCHUKI,HDMI - HEAVY DUTY 1.5M,CABLE - KINGCHUKI HDMI - HEAVY DUTY 1.5M,₱250,₱240.00,₱280.00,(4)
1WK,CASE GAMING,ACER,V920 - BLACK,CASE GAMING - ACER V920 - BLACK,"₱1,800","₱1,770.00","₱2,016.00",0
1WK,CASE GAMING,ACER,V920 - WHITE,CASE GAMING - ACER V920 - WHITE,"₱1,900","₱1,870.00","₱2,128.00",1
1WK,CASE GAMING,ACER,V950 - BLACK,CASE GAMING - ACER V950 - BLACK,"₱2,800","₱2,770.00","₱3,136.00",1
1WK,CASE GAMING,ACER,V950 - WHITE,CASE GAMING - ACER V950 - WHITE,"₱2,900","₱2,870.00","₱3,248.00",0
1WK,CASE GAMING,COOLMAN,HARLEY - BLACK,CASE GAMING - COOLMAN HARLEY - BLACK,"₱1,300","₱1,270.00","₱1,456.00",0
1WK,CASE GAMING,COOLMAN,REYNA M-ATX - BLACK,CASE GAMING - COOLMAN REYNA M-ATX - BLACK,"₱1,550","₱1,520.00","₱1,736.00",0
1WK,CASE GAMING,COOLMAN,RUBY with 3fans  - WHITE,CASE GAMING - COOLMAN RUBY with 3fans  - WHITE,"₱2,100","₱2,070.00","₱2,352.00",0
1WK,CASE GAMING,DARKFLASH ,DK351 with 4 ARGB Fans  - WHITE,CASE GAMING - DARKFLASH  DK351 with 4 ARGB Fans  - WHITE,"₱2,400","₱2,370.00","₱2,688.00",0
1WK,CASE GAMING,DARKFLASH ,DLH21 - BLACK,CASE GAMING - DARKFLASH  DLH21 - BLACK,"₱3,750","₱3,720.00","₱4,200.00",0
1WK,CASE GAMING,DARKFLASH ,DLM21 MESH - WHITE,CASE GAMING - DARKFLASH  DLM21 MESH - WHITE,"₱2,350","₱2,320.00","₱2,632.00",2
1WK,CASE GAMING,DARKFLASH ,DLX22 - WHITE,CASE GAMING - DARKFLASH  DLX22 - WHITE,"₱3,700","₱3,680.00","₱4,144.00",0
1WK,CASE GAMING,DEEP COOL,CC360 ARGB WHITE,CASE GAMING - DEEP COOL CC360 ARGB WHITE,"₱2,750","₱2,730.00","₱3,080.00",0
1WK,CASE GAMING,DEEP COOL,CH160 BLACK ITX,CASE GAMING - DEEP COOL CH160 BLACK ITX,"₱2,950","₱2,950.00","₱3,304.00",0
1WK,CASE GAMING,GAMDIAS,TALOS E3 MESH  - BLACK,CASE GAMING - GAMDIAS TALOS E3 MESH  - BLACK,"₱2,550","₱2,520.00","₱2,856.00",0
1WK,CASE GAMING,GAMDIAS,TALOS E3 MESH  - WHITE,CASE GAMING - GAMDIAS TALOS E3 MESH  - WHITE,"₱2,700","₱2,670.00","₱3,024.00",0
1WK,CASE GAMING,INPLAY,METEOR 3 /  ICE DRILL 1 - BLACK,CASE GAMING - INPLAY METEOR 3 /  ICE DRILL 1 - BLACK,"₱1,150","₱1,120.00","₱1,288.00",1
1WK,CASE GAMING,INPLAY,METEOR 3 /  ICE DRILL 1 - WHITE,CASE GAMING - INPLAY METEOR 3 /  ICE DRILL 1 - WHITE,"₱1,200","₱1,170.00","₱1,344.00",3
1WK,CASE GAMING,KEYTECH ,ARMOR - WHITE,CASE GAMING - KEYTECH  ARMOR - WHITE,"₱1,400","₱1,350.00","₱1,568.00",0
1WK,CASE GAMING,KEYTECH,CUIRASS  - BLACK,CASE GAMING - KEYTECH CUIRASS  - BLACK,"₱1,350","₱1,320.00","₱1,512.00",2
1WK,CASE GAMING,KEYTECH,CUIRASS  - WHITE,CASE GAMING - KEYTECH CUIRASS  - WHITE,"₱1,400","₱1,370.00","₱1,568.00",1
1WK,CASE GAMING,KEYTECH,CYBORG CASE - DEMON SLAYER,CASE GAMING - KEYTECH CYBORG CASE - DEMON SLAYER,"₱2,450","₱2,420.00","₱2,744.00",0
1WK,CASE GAMING,KEYTECH,CYBORG CASE - DRAGONBALL,CASE GAMING - KEYTECH CYBORG CASE - DRAGONBALL,"₱2,450","₱2,420.00","₱2,744.00",4
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ONE PIECE WHITE W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ONE PIECE WHITE W/6 PCS LED FAN,"₱2,600","₱2,550.00","₱2,912.00",0
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ROG BLACK W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ROG BLACK W/6 PCS LED FAN,"₱2,350","₱2,400.00","₱2,632.00",2
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ROG WHITE W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ROG WHITE W/6 PCS LED FAN,"₱2,450","₱2,430.00","₱2,744.00",2
1WK,CASE GAMING,KEYTECH,CYBORG CASE - VENOM,CASE GAMING - KEYTECH CYBORG CASE - VENOM,"₱2,450","₱2,420.00","₱2,744.00",1
1WK,CASE GAMING,KEYTECH,HEXA CASE - BLACK,CASE GAMING - KEYTECH HEXA CASE - BLACK,"₱1,350","₱1,320.00","₱1,512.00",1
1WK,CASE GAMING,KEYTECH,HEXA CASE - WHITE,CASE GAMING - KEYTECH HEXA CASE - WHITE,"₱1,400","₱1,370.00","₱1,568.00",0
1WK,CASE GAMING,KEYTECH,ROBIN CUBE BLACK,CASE GAMING - KEYTECH ROBIN CUBE BLACK,"₱1,450","₱1,400.00","₱1,624.00",0
1WK,CASE GAMING,KEYTECH,ROBIN CUBE WHITE,CASE GAMING - KEYTECH ROBIN CUBE WHITE,"₱1,500","₱1,450.00","₱1,680.00",0
1WK,CASE GAMING,KEYTECH,ROBIN QUAD GUNDAM (WHITE),CASE GAMING - KEYTECH ROBIN QUAD GUNDAM (WHITE),"₱1,380","₱1,350.00","₱1,545.60",2
1WK,CASE GAMING,KEYTECH,ROBIN QUAD ONE PIECE (WHITE),CASE GAMING - KEYTECH ROBIN QUAD ONE PIECE (WHITE),"₱1,380","₱1,350.00","₱1,545.60",0
1WK,CASE GAMING,KEYTECH,ROBIN SE BLACK,CASE GAMING - KEYTECH ROBIN SE BLACK,"₱2,100","₱2,050.00","₱2,352.00",1
1WK,CASE GAMING,KEYTECH,ROBIN SE WHITE,CASE GAMING - KEYTECH ROBIN SE WHITE,"₱2,200","₱2,150.00","₱2,464.00",0
1WK,CASE GAMING,KEYTECH,T1000 - BLACK (case only),CASE GAMING - KEYTECH T1000 - BLACK (case only),"₱1,150","₱1,130.00","₱1,288.00",1
1WK,CASE GAMING,KEYTECH,T1000 - WHITE (case only),CASE GAMING - KEYTECH T1000 - WHITE (case only),"₱1,250","₱1,230.00","₱1,400.00",0
1WK,CASE GAMING,KEYTECH,T5000 BLACK,CASE GAMING - KEYTECH T5000 BLACK,"₱1,200","₱1,180.00","₱1,344.00",2
1WK,CASE GAMING,KEYTECH,T5000 WHITE,CASE GAMING - KEYTECH T5000 WHITE,"₱1,250","₱1,230.00","₱1,400.00",3
1WK,CASE GAMING,KEYTECH,T600 - WHITE,CASE GAMING - KEYTECH T600 - WHITE,"₱1,250","₱1,220.00","₱1,400.00",0
1WK,CASE GAMING,KEYTECH,VISOR - BLACK (MESH),CASE GAMING - KEYTECH VISOR - BLACK (MESH),"₱1,350","₱1,320.00","₱1,512.00",1
1WK,CASE GAMING,KEYTECH,VISOR - WHITE (MESH),CASE GAMING - KEYTECH VISOR - WHITE (MESH),"₱1,400","₱1,370.00","₱1,568.00",0
1WK,CASE GAMING,MMA,AK99 - white,CASE GAMING - MMA AK99 - white,"₱2,500","₱2,450.00","₱2,800.00",0
1WK,CASE GAMING,MMA,SR89 BLACK,CASE GAMING - MMA SR89 BLACK,₱950,₱900.00,"₱1,064.00",0
1WK,CASE GAMING,MMA,SR89 WHITE,CASE GAMING - MMA SR89 WHITE,"₱1,050","₱1,000.00","₱1,176.00",5
1WK,CASE GAMING,NZXT,H5 FLOW - WHITE,CASE GAMING - NZXT H5 FLOW - WHITE,"₱6,100","₱6,070.00","₱6,832.00",0
1WK,CASE GAMING,YGT,B708 - BLACK,CASE GAMING - YGT B708 - BLACK,"₱1,250","₱1,220.00","₱1,400.00",2
1WK,CASE GAMING,YGT,B708 - WHITE,CASE GAMING - YGT B708 - WHITE,"₱1,250","₱1,220.00","₱1,400.00",2
1WK,CASE GAMING,YGT,B709 - BLACK,CASE GAMING - YGT B709 - BLACK,"₱1,250","₱1,220.00","₱1,400.00",1
1WK,CASE GAMING,YGT,B709 - WHITE,CASE GAMING - YGT B709 - WHITE,"₱1,300","₱1,270.00","₱1,456.00",2
1WK,CASE GAMING,YGT,N195 BLACK,CASE GAMING - YGT N195 BLACK,₱950,₱930.00,"₱1,064.00",3
1WK,CASE GAMING,YGT,N195 WHITE,CASE GAMING - YGT N195 WHITE,"₱1,050","₱1,030.00","₱1,176.00",4
1WK,CASE GAMING,DARK FLASH,WD200 BLACK (WOOD EDITION),CASE GAMING - DARK FLASH WD200 BLACK (WOOD EDITION),"₱2,450","₱2,430.00","₱2,744.00",0
1WK,CASE GAMING,DEEP COOL,CH260 BLACK,CASE GAMING - DEEP COOL CH260 BLACK,,-₱20.00,₱0.00,0
1WK,CASE GAMING,WJ COOLMAN,ROBIN CURVED MINI DGT (BLACK),CASE GAMING - WJ COOLMAN ROBIN CURVED MINI DGT (BLACK),"₱2,100","₱2,070.00","₱2,352.00",0
1WK,CASE GENERIC,INPLAY,INPLAY WIND 01 CASE,CASE GENERIC - INPLAY INPLAY WIND 01 CASE,₱600,₱580.00,₱672.00,2
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS BLK,CASE GENERIC - INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS BLK,₱560,₱550.00,₱627.20,0
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS WHT,CASE GENERIC - INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS WHT,₱600,₱590.00,₱672.00,1
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-G250 CASE WITH 2 RGB FANS BUILT IN GP2508 PSU BLACK,CASE GENERIC - INPLAY LITE CASE - X220-G250 CASE WITH 2 RGB FANS BUILT IN GP2508 PSU BLACK,"₱1,100","₱1,000.00","₱1,232.00",1
1WK,CASE GENERIC,KEYTECH,DARTH VADER with 2 fans - BLACK,CASE GENERIC - KEYTECH DARTH VADER with 2 fans - BLACK,"₱1,000",₱970.00,"₱1,120.00",4
1WK,CASE GENERIC,KEYTECH,K6 WITH PSU,CASE GENERIC - KEYTECH K6 WITH PSU,₱800,₱780.00,₱896.00,6
1WK,CASE GENERIC,KEYTECH,STORM TROOPER with 2 fans - WHITE,CASE GENERIC - KEYTECH STORM TROOPER with 2 fans - WHITE,"₱1,050","₱1,030.00","₱1,176.00",3
1WK,CASE GENERIC,KEYTECH,T100 CASE - BLACK,CASE GENERIC - KEYTECH T100 CASE - BLACK,₱700,₱680.00,₱784.00,3
1WK,CASE GENERIC,KEYTECH,T100 CASE - WHITE,CASE GENERIC - KEYTECH T100 CASE - WHITE,₱700,₱680.00,₱784.00,0
1WK,CASE GENERIC,KEYTECH,K7 WITH PSU,CASE GENERIC - KEYTECH K7 WITH PSU,₱800,₱780.00,₱896.00,0
1WK,CASE GENERIC,MMA,MA 860 WHITE,CASE GENERIC - MMA MA 860 WHITE,₱680,₱670.00,₱761.60,0
1WK,CASE GENERIC,YGT,M2  - BLACK,CASE GENERIC - YGT M2  - BLACK,₱850,₱830.00,₱952.00,2
1WK,CASE GENERIC,YGT,M2 - WHITE,CASE GENERIC - YGT M2 - WHITE,₱850,₱830.00,₱952.00,0
1WK,CASE GENERIC,YGT,M3 - BLACK,CASE GENERIC - YGT M3 - BLACK,₱850,₱830.00,₱952.00,0
1WK,CASE GENERIC,YGT,M3 - WHITE,CASE GENERIC - YGT M3 - WHITE,₱900,₱880.00,"₱1,008.00",0
1WK,CASE GENERIC,YGT,M6 - WHITE,CASE GENERIC - YGT M6 - WHITE,₱900,₱880.00,"₱1,008.00",0
1WK,CASE GENERIC,YGT,M7 - WHITE,CASE GENERIC - YGT M7 - WHITE,₱900,₱880.00,"₱1,008.00",0
1WK,CASE GENERIC,NEUTRON,PHANTOM OR ODYSSEY,CASE GENERIC - NEUTRON PHANTOM OR ODYSSEY,₱800,₱780.00,₱896.00,0
1WK,CASE GENERIC,YGT,MARS 7 - with PSU,CASE GENERIC - YGT MARS 7 - with PSU,₱800,₱780.00,₱896.00,0
1WK,CASE GENERIC,YGT,M7 - black,CASE GENERIC - YGT M7 - black,₱900,₱880.00,"₱1,008.00",0
1WK,CASE GENERIC,YGT,MARS 8 - with PSU,CASE GENERIC - YGT MARS 8 - with PSU,₱800,₱780.00,₱896.00,0
1WK,CASE GENERIC,,HONEY COMB CASE - PRO FULL TOWER ATX BLACK,CASE GENERIC -  HONEY COMB CASE - PRO FULL TOWER ATX BLACK,"₱1,150","₱1,120.00","₱1,288.00",0
1WK,CASE GENERIC,,HONEY COMB CASE - PRO FULL TOWER ATX WHITE,CASE GENERIC -  HONEY COMB CASE - PRO FULL TOWER ATX WHITE,"₱1,250","₱1,220.00","₱1,400.00",0
1WK,CASE GENERIC,,HONEY COMB CASE - with PSU,CASE GENERIC -  HONEY COMB CASE - with PSU,₱800,₱780.00,₱896.00,1
1WK,CASE GENERIC,KEYTECH,TS300 WITH 3 PCS LED FAN (black),CASE GENERIC - KEYTECH TS300 WITH 3 PCS LED FAN (black),₱950,₱930.00,"₱1,064.00",0
1WK,CASE GENERIC,YGT,MARS 6 - with PSU,CASE GENERIC - YGT MARS 6 - with PSU,₱800,₱780.00,₱896.00,1
1WK,CASE GENERIC,YGT,Y-288,CASE GENERIC - YGT Y-288,₱700,₱680.00,₱784.00,0
1YR,CCTV,DAHUA,1080P CCTV - 4 CHANNELS,CCTV - DAHUA 1080P CCTV - 4 CHANNELS,"₱5,300","₱5,250.00","₱5,936.00",1
1YR,CCTV,DAHUA,2MP CCTV FIXED LENS BULLET CAMERA FULL COLOR,CCTV - DAHUA 2MP CCTV FIXED LENS BULLET CAMERA FULL COLOR,"₱1,850","₱1,750.00","₱2,072.00",1
1YR,CCTV,TAPO,C500 OUTDOOR PAN/TILT SECURITY WIFI CAMERA,CCTV - TAPO C500 OUTDOOR PAN/TILT SECURITY WIFI CAMERA,"₱2,000","₱1,980.00","₱2,240.00",0
1YR,CCTV,TAPO,C210 3MP PAN/TILT HOME SECURITY WIFI CAMERA,CCTV - TAPO C210 3MP PAN/TILT HOME SECURITY WIFI CAMERA,"₱1,300","₱1,280.00","₱1,456.00",0
1YR,CCTV,TAPO,C310 3MP OUTDOOR SECURITY WIFI CAMERA,CCTV - TAPO C310 3MP OUTDOOR SECURITY WIFI CAMERA,"₱1,850","₱1,830.00","₱2,072.00",1
1YR,CCTV,TAPO,C211 PAN/TILT HOME SECURITY WIFI CAMERA,CCTV - TAPO C211 PAN/TILT HOME SECURITY WIFI CAMERA,"₱1,300","₱1,280.00","₱1,456.00",0
1YR,CCTV,TAPO,C200 2MP PAN/TILT HOME SECURITY WIFI CAMERA,CCTV - TAPO C200 2MP PAN/TILT HOME SECURITY WIFI CAMERA,"₱1,200","₱1,180.00","₱1,344.00",2
1YR,CCTV,TP LINK,16 CHANNEL NETWORK VIDEO RECORDER,CCTV - TP LINK 16 CHANNEL NETWORK VIDEO RECORDER,"₱3,650","₱3,630.00","₱4,088.00",0
,CCTV,EZVIZ,C6N 2MP 1080P  INDOOR SMART IR CAMERA WIFI 24.4 GHZ 360 PANTILT MICRO SD MAX 256GB 2WAY TALK,CCTV - EZVIZ C6N 2MP 1080P  INDOOR SMART IR CAMERA WIFI 24.4 GHZ 360 PANTILT MICRO SD MAX 256GB 2WAY TALK,"₱1,000",₱980.00,"₱1,120.00",0
,CCTV,EZVIZ,H6C PRO 4MP 2K RESOLUTION ,CCTV - EZVIZ H6C PRO 4MP 2K RESOLUTION ,"₱1,500","₱1,480.00","₱1,680.00",0
,CCTV,EZVIZ,H8C 3MP  4G INTERNET CAMERA 2K RESOLUTION,CCTV - EZVIZ H8C 3MP  4G INTERNET CAMERA 2K RESOLUTION,"₱1,950","₱1,930.00","₱2,184.00",0
,CCTV,EZVIZ,H1C 2MP INDOOR PT CAMERA 1080P RESOLUTION,CCTV - EZVIZ H1C 2MP INDOOR PT CAMERA 1080P RESOLUTION,₱870,₱850.00,₱974.40,0
,CCTV,EZVIZ,CB2 2MP BLK 1080P BATTERY CAM 2000mAh MICRO SD MAX 512GB 2WAY TALK,CCTV - EZVIZ CB2 2MP BLK 1080P BATTERY CAM 2000mAh MICRO SD MAX 512GB 2WAY TALK,"₱2,300","₱2,280.00","₱2,576.00",0
N/A,CHAIR,DX RACER,GAMING CHAIR EC-0134-N-K3-303 BLACK,CHAIR - DX RACER GAMING CHAIR EC-0134-N-K3-303 BLACK,"₱5,400","₱5,350.00","₱6,048.00",0
N/A,CHAIR,DX RACER,GAMING CHAIR EC-0134-NR-K3-303 RED,CHAIR - DX RACER GAMING CHAIR EC-0134-NR-K3-303 RED,"₱5,400","₱5,350.00","₱6,048.00",0
N/A,CHAIR,FANTECH,ALPHA CHAIR BLACK,CHAIR - FANTECH ALPHA CHAIR BLACK,"₱3,350","₱3,250.00","₱3,752.00",1
N/A,CHAIR,FANTECH,ALPHA CHAIR RED,CHAIR - FANTECH ALPHA CHAIR RED,"₱3,350","₱3,250.00","₱3,752.00",0
,CHARGER,FANTECH,GAN POWER PLUS 65W CWG302,CHARGER - FANTECH GAN POWER PLUS 65W CWG302,"₱1,400","₱1,350.00","₱1,568.00",1
,CHARGER,FANTECH,GAN POWER PURE 38W CWQ202,CHARGER - FANTECH GAN POWER PURE 38W CWQ202,₱720,₱700.00,₱806.40,0
,CHARGER,FANTECH,GAN POWER PURE 30W CWQ201,CHARGER - FANTECH GAN POWER PURE 30W CWQ201,₱680,₱650.00,₱761.60,1
,CHARGER,FANTECH,GAN PURE 18W CWQ103,CHARGER - FANTECH GAN PURE 18W CWQ103,₱380,₱350.00,₱425.60,1
,CHARGER,FANTECH,SMART GAMING GRIP ACGP01,CHARGER - FANTECH SMART GAMING GRIP ACGP01,₱350,₱300.00,₱392.00,0
6MOS,CONSOLE,FANTECH,NOVA PRO EPSILON BLACK WIRELESS GAME PAD,CONSOLE - FANTECH NOVA PRO EPSILON BLACK WIRELESS GAME PAD,"₱1,850","₱1,800.00","₱2,072.00",0
6MOS,CONSOLE,FANTECH,NOVA PRO STAR ONE WHITE WIRELESS GAME PAD,CONSOLE - FANTECH NOVA PRO STAR ONE WHITE WIRELESS GAME PAD,"₱1,850","₱1,800.00","₱2,072.00",0
1MO,CONSOLE,FANTECH,REVOLVER WIRED GAMING CONTROLLER GP12,CONSOLE - FANTECH REVOLVER WIRED GAMING CONTROLLER GP12,₱850,₱800.00,₱952.00,0
1MO,CONSOLE,FANTECH,REVOLVER WIRELESS GAMING CONTROLLER WGP12 BLACK,CONSOLE - FANTECH REVOLVER WIRELESS GAMING CONTROLLER WGP12 BLACK,"₱1,480","₱1,400.00","₱1,657.60",1
1MO,CONSOLE,FANTECH,REVOLVER WIRELESS GAMING CONTROLLER WGP12 WHITE,CONSOLE - FANTECH REVOLVER WIRELESS GAMING CONTROLLER WGP12 WHITE,"₱1,480","₱1,400.00","₱1,657.60",1
6MOS,CONSOLE,VARIANT,BARTOP ARCADE (ASSORTED CHARACTERS),CONSOLE - VARIANT BARTOP ARCADE (ASSORTED CHARACTERS),"₱12,999","₱12,600.00","₱14,558.88",0
6MOS,CONSOLE,FANTECH,NOVA PRO POLARIS BLUE WIRELESS GAME PAD,CONSOLE - FANTECH NOVA PRO POLARIS BLUE WIRELESS GAME PAD,"₱1,850","₱1,800.00","₱2,072.00",1
6MOS,CONSOLE,FANTECH,NOVA PRO SOLARIS RAINBOW WIRELESS GAME PAD,CONSOLE - FANTECH NOVA PRO SOLARIS RAINBOW WIRELESS GAME PAD,"₱1,850","₱1,800.00","₱2,072.00",1
6MOS,CONSOLE,FANTECH,SHOOTER III BLACK WIRELESS GAME PAD,CONSOLE - FANTECH SHOOTER III BLACK WIRELESS GAME PAD,"₱1,000",₱980.00,"₱1,120.00",0
6MOS,CONSOLE,FANTECH,SHOOTER III WHITE WIRELESS GAME PAD,CONSOLE - FANTECH SHOOTER III WHITE WIRELESS GAME PAD,"₱1,100","₱1,080.00","₱1,232.00",0
3MOS,COOLER FAN,DEEPCOOL ,AK400  - (DIGITAL) black,COOLER FAN - DEEPCOOL  AK400  - (DIGITAL) black,"₱2,400","₱2,350.00","₱2,688.00",0
3MOS,COOLER FAN,DEEPCOOL ,AK400  - (DIGITAL) white ,COOLER FAN - DEEPCOOL  AK400  - (DIGITAL) white ,"₱2,150","₱2,130.00","₱2,408.00",0
3MOS,COOLER FAN,DEEPCOOL ,AK400 - ZERO DARK,COOLER FAN - DEEPCOOL  AK400 - ZERO DARK,"₱1,700","₱1,650.00","₱1,904.00",0
